hotel_name,hotel_stars_count,location,rating,room_type1,occupancy1,summer_price1,room_type2,occupancy2,summer_price2,room_type3,occupancy3,summer_price3,amenities_list
Къща за гости Мариана,2.0,Созопол,,стандартна стая,2,90 лв,стандартна стая,2,80 лв,студио,3,120 лв,"['телевизор', 'кабелна тв', 'климатик', 'хладилник', 'интернет', 'баня/тоалетна', 'тераса', 'изглед', 'ютия', 'пране', 'лятна градина', 'електрическа кана']"
Хотел Аполон,2.0,Созопол,,стандартна стая,2,120 лв,стандартна стая,3,130 лв,студио,4,140 лв,"['ресторант', 'нощен бар', 'охрана', 'детски кът', 'лоби бар', 'кафене', 'телевизор', 'кабелна тв', 'сателитна тв', 'климатик', 'хладилник', 'мини-бар', 'интернет', 'баня/тоалетна', 'тераса', 'изглед', 'радио', 'ютия', 'сешоар', 'лятна градина', 'механа', 'електрическа кана']"
Самостоятелна къща Вяра,3.0,Созопол,,къща,6,250 лв,,,,,,,"['паркинг', 'телевизор', 'кухня', 'сателитна тв', 'климатик', 'отопление', 'хладилник', 'интернет', 'баня/тоалетна', 'микровълнова', 'пералня', 'тераса', 'ютия', 'сешоар', 'кухненски бокс', 'кафе машина', 'съдомиялна', 'електрическа кана', 'готварска печка']"
Къща Калина,3.0,Созопол,,стандартна стая,2,100 лв,стандартна стая,3,130 лв,,,,"['телевизор', 'кабелна тв', 'климатик', 'хладилник', 'интернет', 'баня/тоалетна', 'тераса', 'изглед', 'ютия', 'пране', 'кафе машина', 'електрическа кана']"
Вила Лист,4.0,Созопол,8.1,стандартна стая,1,246 лв,стандартна стая,2,228 лв,лукс стая,3,330 лв,"['открит басейн', 'паркинг', 'ресторант', 'фитнес', 'казино', 'рент-а-кар', 'сауна', 'сейф', 'джакузи', 'рум сервиз', 'детски басейн', 'конферентна зала', 'козметик', 'лоби бар', 'студио за масаж', 'парна баня', 'телевизор', 'кабелна тв', 'климатик', 'отопление', 'мини-бар', 'телефон', 'интернет', 'баня/тоалетна', 'пералня', 'тераса', 'изглед', 'закрит басейн', 'фризьор', 'вана', 'сешоар', 'пране', 'гладене', 'плащане с карта', 'фризьорски салон', 'бизнес услуги', 'лятна градина', 'бар-басейн']"
Апарт-Хотел Онегин SPA,3.0,Созопол,8.3,стандартна стая,2,98 лв,стандартна стая,3,115 лв,апартамент,3,165 лв,"['открит басейн', 'паркинг', 'ресторант', 'нощен клуб', 'рент-а-кар', 'сауна', 'сейф', 'рум сервиз', 'детски кът', 'детски басейн', 'колела под наем', 'лоби бар', 'студио за масаж', 'кафене', 'телевизор', 'кухня', 'кабелна тв', 'климатик', 'хладилник', 'телефон', 'интернет', 'баня/тоалетна', 'микровълнова', 'тераса', 'ютия', 'сешоар', 'обменно бюро', 'кухненски бокс', 'плащане с карта', 'кафе машина', 'лекарски кабинет', 'бар-басейн', 'SPA център', 'електрическа кана', 'готварска печка']"
Квартира Прима,3.0,Созопол,,стандартна стая,2,не се дава,апартамент,2,не се дава,,,,"['паркинг', 'телевизор', 'кабелна тв', 'сателитна тв', 'климатик', 'хладилник', 'интернет', 'баня/тоалетна', 'тераса', 'изглед', 'ютия', 'сешоар', 'електрическа кана']"
Семеен хотел Посейдон,3.0,Созопол,,стандартна стая,2,95 лв,лукс стая,2,120 лв,,,,"['телевизор', 'кабелна тв', 'климатик', 'отопление', 'хладилник', 'интернет', 'баня/тоалетна', 'тераса', 'изглед', 'ютия', 'сешоар', 'обменно бюро']"
Апартамент в Грийн Лайф морска гледка,5.0,Созопол,9.8,апартамент,4,220 лв,,,,,,,"['открит басейн', 'паркинг', 'ресторант', 'охрана', 'детски кът', 'детски басейн', 'телевизор', 'кухня', 'кабелна тв', 'климатик', 'отопление', 'хладилник', 'телефон', 'интернет', 'баня/тоалетна', 'микровълнова', 'пералня', 'тераса', 'изглед', 'ютия', 'сешоар', 'кухненски бокс', 'кафе машина', 'лятна градина', 'електрическа кана', 'готварска печка']"
Вила Роси,3.0,Созопол,9.3,стандартна стая,2,94 лв,студио,3,148 лв,апартамент,4,186 лв,"['паркинг', 'сейф', 'телевизор', 'кабелна тв', 'климатик', 'хладилник', 'интернет', 'баня/тоалетна', 'микровълнова', 'тераса', 'изглед', 'ютия', 'сешоар', 'кухненски бокс', 'пране', 'кафе машина', 'лятна градина', 'електрическа кана']"
